file,score,has_docstring,has_todos,has_placeholders,function_count,class_count
__init__.py,40,False,False,False,0,0
my_library/__init__.py,40,False,False,False,0,0
helpers/StrO.py,60,False,True,False,3,0
helpers/code_documentation.py,60,False,False,True,1,0
helpers/environment_setup.py,40,False,True,True,5,0
helpers/database_migration.py,40,False,True,True,3,0
helpers/backup_restore.py,60,False,True,False,2,0
helpers/log_analysis.py,40,False,True,True,3,0
helpers/code_formatting_and_linting.py,40,False,True,True,4,0
helpers/performance_profiling.py,40,False,True,True,2,0
helpers/DtO.py,60,False,True,False,3,0
helpers/FaDO.py,60,False,True,False,4,0
helpers/__init__.py,40,False,False,False,0,0
helpers/unit_test_runner.py,40,False,True,True,3,0
helpers/api_testing.py,20,False,True,True,2,0
audits/generate_audit_report.py,80,True,False,True,12,1
docs/Tasks_status.py,80,False,False,False,1,0
docs/data_augmentation_script.py,40,False,False,False,0,0
docs/agent_dataset_requirements.py,40,False,False,False,0,0
docs/__init__.py,40,False,False,False,0,0
docs/CSV_docs/__init__.py,40,False,False,False,0,0
Agents/list_names.py,60,False,False,False,1,0
Agents/update_agent_init.py,60,False,False,False,1,0
Agents/__init__.py,40,False,False,False,0,0
Agents/A6_Data_Scientist/Agent_Data_Scientist.py,60,True,False,True,4,0
Agents/A6_Data_Scientist/Model_Implementation.py,40,False,False,True,3,1
Agents/A6_Data_Scientist/Visualization_Creation.py,20,False,True,True,3,1
Agents/A6_Data_Scientist/__init__.py,40,False,False,False,0,0
Agents/A5_Data_Engineer/Data_Validation.py,20,False,True,True,4,2
Agents/A5_Data_Engineer/Data_Pipeline_Implementation.py,20,False,True,True,4,1
Agents/A5_Data_Engineer/Agent_Data_Engineer.py,60,True,False,True,4,0
Agents/A5_Data_Engineer/__init__.py,40,False,False,False,0,0
Agents/A2_Software_Architect/Bottleneck_Identification.py,40,False,False,True,5,1
Agents/A2_Software_Architect/System_Requirements_Analysis.py,40,False,True,False,5,1
Agents/A2_Software_Architect/Agent_Software_Architect.py,60,True,False,True,4,0
Agents/A2_Software_Architect/Code_Quality_Analysis.py,40,False,True,True,5,1
Agents/A2_Software_Architect/__init__.py,40,False,False,False,0,0
Agents/A1_Project_Manager/Change_Management.py,20,False,True,True,6,1
Agents/A1_Project_Manager/Risk_Analysis.py,40,False,True,True,8,1
Agents/A1_Project_Manager/Team_Collaboration.py,40,False,False,True,19,4
Agents/A1_Project_Manager/Agent_Project_Manager.py,60,True,False,True,6,0
Agents/A1_Project_Manager/make_a_decision.py,40,False,False,True,4,1
Agents/A1_Project_Manager/Resource_Allocation.py,20,False,True,True,8,1
Agents/A1_Project_Manager/__init__.py,40,False,False,False,0,0
Agents/A3_Frontend_Developer/Agent_Frontend_Developer.py,60,True,False,True,4,0
Agents/A3_Frontend_Developer/Frontend_Test_Automation.py,20,False,True,True,5,1
Agents/A3_Frontend_Developer/Usability_Analysis.py,20,False,True,True,4,1
Agents/A3_Frontend_Developer/__init__.py,40,False,False,False,0,0
Agents/A9_Quality_Assurance_Engineer/Test_Plan_Creation.py,40,False,False,True,3,2
Agents/A9_Quality_Assurance_Engineer/Test_Execution_and_Reporting.py,40,False,False,True,4,2
Agents/A9_Quality_Assurance_Engineer/__init__.py,40,False,False,False,0,0
Agents/A9_Quality_Assurance_Engineer/Agent_Quality_Assurance_Engineer.py,60,True,False,True,4,0
Agents/A7_Machine_Learning_Engineer/Model_Deployment_API.py,60,False,False,False,2,2
Agents/A7_Machine_Learning_Engineer/Model_Optimization.py,40,False,False,True,2,1
Agents/A7_Machine_Learning_Engineer/__init__.py,40,False,False,False,0,0
Agents/A7_Machine_Learning_Engineer/Model_Deployment_Integration.py,40,False,False,True,4,1
Agents/A7_Machine_Learning_Engineer/Agent_Machine_Learning_Engineer.py,60,True,False,True,4,0
Agents/A8_DevOps_Engineer/Monitoring_and_Alerting.py,40,False,True,True,5,2
Agents/A8_DevOps_Engineer/Agent_DevOps_Engineer.py,60,True,False,True,4,0
Agents/A8_DevOps_Engineer/Deployment_Automation.py,40,False,False,True,3,1
Agents/A8_DevOps_Engineer/__init__.py,40,False,False,False,0,0
Agents/A10_Security_Engineer/Security_Assessment.py,20,False,True,True,4,2
Agents/A10_Security_Engineer/Agent_Security_Engineer.py,60,True,False,True,4,0
Agents/A10_Security_Engineer/Security_Improvement_Recommendations.py,40,False,False,True,4,2
Agents/A10_Security_Engineer/__init__.py,40,False,False,False,0,0
Agents/A4_Backend_Developer/Backend_Test_Automation.py,20,False,True,True,3,1
Agents/A4_Backend_Developer/Agent_Backend_Developer.py,60,True,False,True,4,0
Agents/A4_Backend_Developer/Database_Analysis.py,20,False,True,True,4,1
Agents/A4_Backend_Developer/__init__.py,40,False,False,False,0,0
